,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"pi[9,3]",0.271435,0.00505729,0.149976,0.151759,0.0461658,0.268244,0.531247,811.615,2089.26,7.81398,1.00552
"pi[9,4]",0.103144,0.00248806,0.0693623,0.0708062,0.0123138,0.0916616,0.23222,859.074,2610.4,8.27091,1.00499
"pi[10,1]",0.285204,0.00553595,0.163835,0.151292,0.070145,0.256061,0.603522,1042.53,1966.54,10.0372,1.00402
"pi[10,2]",0.338156,0.00318331,0.098331,0.0890237,0.1612,0.343346,0.494438,1052.98,1942.97,10.1378,1.00295
"pi[10,3]",0.285204,0.00553595,0.163835,0.151292,0.070145,0.256061,0.603522,1042.53,1966.54,10.0372,1.00402
"pi[10,4]",0.338156,0.00318331,0.098331,0.0890237,0.1612,0.343346,0.494438,1052.98,1942.97,10.1378,1.00295
log_nu[1],-2.77222,0.0103761,0.681171,0.671419,-4.01828,-2.69295,-1.80895,4188.12,5446.14,40.3219,1.00068
log_nu[2],-2.06005,0.00772404,0.512863,0.50087,-3.04376,-1.96671,-1.39806,4373.27,5362.06,42.1045,1.00021
log_nu[3],-1.44364,0.00552541,0.390446,0.31816,-2.21546,-1.35777,-0.963764,5248.39,5665.41,50.5299,1.00044
log_nu[4],-0.670724,0.00421057,0.259865,0.29142,-1.08553,-0.678896,-0.239288,3828.38,5184.1,36.8585,1.00014
"prob_resp_class[1,1]",0.0722975,0.00263327,0.10612,0.0403308,0.000715812,0.0306169,0.296707,1629.9,2803.07,15.6922,1.00311
"prob_resp_class[1,2]",0.257257,0.00411473,0.226966,0.217815,0.00889126,0.193366,0.718563,2803.69,4227.45,26.9931,1.00217
"prob_resp_class[1,3]",0.13166,0.0045999,0.145066,0.0861634,0.00600538,0.0784966,0.457218,1123.58,2406.15,10.8174,1.00292
"prob_resp_class[1,4]",0.538785,0.00608923,0.27372,0.34442,0.0833429,0.555121,0.943282,2041.03,3927.63,19.6504,1.00119
"prob_resp_class[2,1]",0.0409143,0.00249521,0.0894167,0.011382,0.000101891,0.00815176,0.218116,1127.01,2195.12,10.8505,1.00329
"prob_resp_class[2,2]",0.142357,0.00394276,0.170312,0.0946611,0.00254929,0.0740606,0.520194,1682.99,3673.9,16.2033,1.00278
