,R_hat
beta2[42],1.00034
beta0[87],1.00034
beta12[125],1.00034
beta12[34],1.00034
beta12[178],1.00033
beta1[165],1.00033
beta12[110],1.00033
beta1[60],1.00033
beta1[134],1.00033
beta1[109],1.00033
beta1[49],1.00033
beta1[115],1.00033
beta2[110],1.00033
beta12[124],1.00032
beta0[35],1.00032
beta0[78],1.00032
beta1[46],1.00031
beta12[58],1.00031
beta0[74],1.00031
beta12[200],1.00031
beta2[159],1.00031
theta[1],1.00031
beta12[182],1.0003
beta12[24],1.0003
beta1[151],1.0003
beta2[5],1.0003
beta12[31],1.00029
beta1[136],1.00029
beta1[170],1.00028
beta0[196],1.00028
beta0[73],1.00028
beta2[149],1.00028
beta0[108],1.00028
beta2[135],1.00028
beta1[13],1.00027
beta1[57],1.00027
beta1[100],1.00027
beta1[130],1.00026
beta0[155],1.00026
beta2[175],1.00026
beta1[141],1.00026
beta1[164],1.00025
beta1[107],1.00025
beta1[110],1.00025
beta12[189],1.00025
beta2[186],1.00025
beta1[73],1.00025
beta1[72],1.00025
beta1[132],1.00025
beta1[97],1.00025
beta0[84],1.00025
beta1[95],1.00024
beta2[76],1.00024
beta1[194],1.00024
beta0[31],1.00024
beta1[77],1.00024
beta1[74],1.00024
beta12[161],1.00024
beta2[98],1.00024
beta2[65],1.00024
beta0[156],1.00024
beta2[20],1.00024
beta1[32],1.00024
beta2[188],1.00024
beta1[15],1.00023
beta2[173],1.00023
beta2[19],1.00023
beta0[112],1.00023
beta12[131],1.00023
beta1[199],1.00023
beta0[170],1.00023
beta2[148],1.00022
beta1[120],1.00022
beta0[166],1.00022
beta2[127],1.00022
beta0[72],1.00022
beta2[67],1.00022
beta12[145],1.00022
beta2[197],1.00022
beta1[176],1.00022
beta1[71],1.00022
beta12[93],1.00021
beta1[66],1.00021
beta12[130],1.00021
beta2[178],1.00021
beta1[153],1.00021
beta12[85],1.00021
beta2[33],1.00021
beta1[91],1.00021
beta12[78],1.00021
beta2[112],1.00021
beta1[104],1.0002
beta0[183],1.0002
beta1[171],1.0002
beta0[100],1.0002
beta2[187],1.0002
beta12[88],1.0002
beta0[60],1.00019
beta12[187],1.00019
beta0[98],1.00019
beta2[142],1.00019
beta0[152],1.00019
beta1[154],1.00019
beta2[118],1.00018
beta2[115],1.00018
beta1[52],1.00018
beta2[101],1.00018
beta1[114],1.00018
beta0[194],1.00018
beta2[156],1.00018
beta2[193],1.00018
beta0[118],1.00017
beta0[129],1.00017
beta1[119],1.00017
beta0[192],1.00016
beta2[96],1.00016
beta0[45],1.00016
beta0[159],1.00015
beta0[186],1.00015
beta2[72],1.00015
beta1[172],1.00015
beta12[152],1.00015
beta0[139],1.00015
beta12[25],1.00015
beta0[75],1.00014
beta12[154],1.00014
beta12[23],1.00014
beta0[80],1.00014
beta12[118],1.00014
beta0[42],1.00014
beta2[69],1.00014
beta12[146],1.00013
beta1[122],1.00013
beta1[182],1.00013
beta0[36],1.00013
beta12[9],1.00013
beta2[87],1.00013
beta0[109],1.00013
beta0[153],1.00013
beta2[45],1.00013
beta0[168],1.00013
beta2[104],1.00013
beta2[102],1.00012
beta1[30],1.00012
beta0[134],1.00012
beta12[21],1.00012
beta0[128],1.00012
beta1[196],1.00011
beta2[184],1.00011
beta2[58],1.00011
beta2[73],1.0001
beta1[40],1.0001
beta0[50],1.0001
beta2[120],1.0001
beta0[147],1.0001
beta12[179],1.0001
beta12[116],1.00009
beta1[190],1.00009
beta12[64],1.00009
beta0[33],1.00009
beta12[61],1.00009
beta2[169],1.00009
beta0[91],1.00009
beta12[168],1.00009
beta1[148],1.00008
beta1[63],1.00008
beta0[90],1.00008
beta0[191],1.00008
beta1[128],1.00008
beta12[52],1.00008
beta2[100],1.00007
beta0[164],1.00007
beta12[95],1.00007
beta1[156],1.00007
beta0[88],1.00006
beta2[66],1.00006
beta1[157],1.00006
beta1[161],1.00006
beta0[133],1.00006
beta0[52],1.00006
beta2[182],1.00006
beta1[105],1.00006
beta2[83],1.00005
beta0[136],1.00005
beta12[56],1.00005
beta12[1],1.00005
beta12[176],1.00005
beta1[180],1.00005
beta2[155],1.00005
beta0[142],1.00004
beta0[63],1.00004
beta1[81],1.00004
beta12[169],1.00004
beta2[78],1.00003
beta0[99],1.00003
beta2[30],1.00003
beta0[127],1.00003
beta1[88],1.00003
beta2[64],1.00003
beta12[138],1.00003
beta12[128],1.00002
beta1[181],1.00002
beta2[17],1.00001
beta12[68],1.00001
beta0[198],1.00001
beta2[172],1.00001
beta0[81],1.00001
beta1[174],1.00001
beta12[40],1.00001
beta1[163],1.00001
beta2[126],1.0
beta2[54],1.0
beta2[85],1.0
beta1[133],1.0
beta2[121],0.999999
beta12[72],0.999999
beta2[185],0.999998
beta12[136],0.999997
beta1[173],0.999993
beta2[167],0.99999
beta2[128],0.99999
beta12[184],0.999988
beta0[59],0.999987
beta0[117],0.999984
beta12[92],0.999983
beta12[97],0.999982
beta2[37],0.999982
beta12[76],0.99998
beta12[35],0.999972
beta0[169],0.999972
beta12[8],0.999971
beta12[59],0.999971
beta0[148],0.999968
beta12[173],0.999968
theta[2],0.999967
beta0[40],0.999967
beta1[2],0.999962
beta1[101],0.999958
beta12[196],0.999956
beta12[192],0.999955
beta1[135],0.999953
beta0[34],0.999951
beta12[81],0.999951
beta2[195],0.99995
beta1[84],0.999937
beta12[127],0.999934
beta2[132],0.999929
beta12[166],0.999929
beta1[118],0.999928
beta0[124],0.999921
beta12[67],0.999919
beta2[84],0.999917
beta2[141],0.999916
beta0[177],0.999907
beta1[34],0.999902
beta1[169],0.999901
beta12[101],0.999897
beta12[53],0.999894
beta2[189],0.999894
beta1[150],0.999893
beta2[129],0.999892
beta2[10],0.999881
beta12[160],0.999879
beta12[90],0.999879
beta1[58],0.999869
beta0[94],0.999865
beta2[181],0.999863
beta1[192],0.999863
beta0[135],0.99986
beta1[168],0.999859
beta1[98],0.999858
beta12[45],0.999853
beta1[125],0.99985
beta1[31],0.99985
beta2[32],0.999846
beta2[92],0.999844
