,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[54,6]",0.142098,0.00128712,0.110695,0.103833,0.0109781,0.118233,0.360724,5942.77,3917.9,27.9612,1.0005
"prob_resp_class[54,7]",0.217774,0.00157827,0.159552,0.165605,0.0166985,0.186302,0.522449,8249.94,4772.15,38.8167,1.00073
"prob_resp_class[54,8]",0.142168,0.00131505,0.111484,0.1042,0.00986687,0.117902,0.361088,6649.07,4283.35,31.2845,1.00012
"prob_resp_class[55,1]",0.186592,0.0010073,0.0917498,0.0870064,0.0647037,0.172888,0.358772,8409.92,5789.92,39.5694,1.00046
"prob_resp_class[55,2]",0.192564,0.00174279,0.146653,0.148766,0.01282,0.161105,0.478612,5260.26,3294.7,24.75,1.00088
"prob_resp_class[55,3]",0.0290088,0.000332424,0.0254059,0.0195007,0.00265114,0.0223434,0.078506,4897.4,3642.27,23.0427,1.00031
"prob_resp_class[55,4]",0.325889,0.00176142,0.145805,0.151612,0.092075,0.32211,0.574454,6292.09,3538.78,29.6048,1.00108
"prob_resp_class[55,5]",0.00106179,1.38701e-05,0.00126728,0.00068498,4.38719e-05,0.000636874,0.00358204,6827.3,4008.69,32.123,0.999889
"prob_resp_class[55,6]",0.132309,0.00124934,0.105536,0.0971487,0.0100994,0.10937,0.344816,5958.16,3849.24,28.0337,1.00028
"prob_resp_class[55,7]",0.00107495,1.37425e-05,0.00133096,0.000696572,4.56648e-05,0.000635684,0.00354057,7732.34,5136.32,36.3813,1.00098
"prob_resp_class[55,8]",0.1315,0.00131738,0.105661,0.0964509,0.00877645,0.106717,0.336616,5958.27,4455.9,28.0342,1.00008
"prob_resp_class[56,1]",0.0595568,0.00059203,0.0486987,0.0341584,0.0110652,0.0461534,0.152972,7526.28,5797.94,35.4118,1.00037
"prob_resp_class[56,2]",0.0681657,0.00112491,0.0817373,0.0446093,0.00236831,0.0403393,0.226858,4905.35,3559.1,23.0801,1.00119
"prob_resp_class[56,3]",0.0699738,0.000866594,0.0654293,0.0462243,0.00587283,0.0515065,0.200353,4910.35,3495.82,23.1036,1.00062
"prob_resp_class[56,4]",0.688408,0.00250688,0.169464,0.138969,0.343215,0.728608,0.888326,6108.03,3297.9,28.7388,1.00162
"prob_resp_class[56,5]",0.00045849,7.50444e-06,0.000642113,0.000272562,1.60109e-05,0.000241082,0.00166294,6566.09,3935.5,30.894,0.999914
"prob_resp_class[56,6]",0.0563885,0.000677937,0.0551009,0.0390481,0.00351148,0.0404342,0.165771,5797.91,4025.06,27.2797,1.00043
"prob_resp_class[56,7]",0.000460526,7.4696e-06,0.000662308,0.000275908,1.63368e-05,0.000242489,0.00164765,7665.23,5084.27,36.0656,1.00106
"prob_resp_class[56,8]",0.0565882,0.000749437,0.0572304,0.0387165,0.00306394,0.0397823,0.165902,5867.08,4589.94,27.6051,1.00027
"prob_resp_class[57,1]",0.464194,0.00277185,0.222129,0.248022,0.143777,0.436162,0.862526,6301.13,3867.44,29.6473,1.00053
"prob_resp_class[57,2]",0.00258595,3.98318e-05,0.00325652,0.00163257,8.77917e-05,0.00145681,0.00880916,4930.01,3568.28,23.1961,1.00042
"prob_resp_class[57,3]",0.488912,0.00290354,0.227655,0.256968,0.0821183,0.514117,0.819672,5870.79,3561.83,27.6226,1.00045
"prob_resp_class[57,4]",0.032673,0.000297598,0.0253473,0.0200416,0.00524678,0.0261417,0.0814982,5988.77,3828.85,28.1777,1.00029
"prob_resp_class[57,5]",0.00361566,4.47786e-05,0.00419553,0.00236851,0.000173546,0.00222817,0.0116789,7030.22,4055.5,33.0778,1.00007
"prob_resp_class[57,6]",0.00218134,2.7805e-05,0.00235194,0.00145679,0.000118246,0.00144844,0.00668671,5964.49,4203.58,28.0635,1.00027
"prob_resp_class[57,7]",0.00366131,4.54432e-05,0.0043743,0.00242261,0.000163405,0.00227487,0.0117236,8092.16,4882.45,38.0743,1.00071
"prob_resp_class[57,8]",0.00217626,2.92433e-05,0.00241828,0.00146691,0.000109342,0.00146843,0.00664348,5984.62,4670.26,28.1581,1.00024
"prob_resp_class[58,1]",0.682853,0.0013055,0.120379,0.118483,0.463565,0.697209,0.854769,8723.03,6239.74,41.0426,1.00055
"prob_resp_class[58,2]",0.0520338,0.000621687,0.0534002,0.0366795,0.0023845,0.0353618,0.157358,5293.49,3377.57,24.9063,0.999866
"prob_resp_class[58,3]",0.106225,0.00085903,0.0729299,0.0682842,0.0127606,0.0940022,0.241363,5688.84,3424.57,26.7665,1.0002
"prob_resp_class[58,4]",0.0831358,0.00065212,0.0555471,0.0471836,0.0163724,0.0710172,0.190336,6279.09,3590.64,29.5437,1.0001
"prob_resp_class[58,5]",0.00413589,5.12444e-05,0.00471529,0.0027619,0.00019953,0.00260969,0.01315,6941.26,4630.77,32.6592,0.999839
"prob_resp_class[58,6]",0.0339873,0.000428301,0.0341841,0.0237031,0.00208489,0.0238447,0.100855,5829.25,4181.55,27.4271,1.0007
"prob_resp_class[58,7]",0.00418668,5.18408e-05,0.00489482,0.00277812,0.000196426,0.00257977,0.0134435,7601.56,4707.04,35.766,1.00104
"prob_resp_class[58,8]",0.0334428,0.00041721,0.0335887,0.0228102,0.0019282,0.0235713,0.0989346,6112.92,4716.99,28.7618,1.00017
"prob_resp_class[59,1]",0.850809,0.00107041,0.0930469,0.085326,0.677551,0.86689,0.969612,6434.74,3638.05,30.276,1.00011
"prob_resp_class[59,2]",0.00486568,6.1395e-05,0.00539971,0.0033051,0.000213842,0.00307566,0.0155368,5210.87,3179.68,24.5176,0.999989
"prob_resp_class[59,3]",0.133781,0.00107773,0.0920366,0.0842732,0.0159721,0.118051,0.30738,5825.87,3388.31,27.4112,1.00029
"prob_resp_class[59,4]",0.00770876,6.51623e-05,0.00568632,0.00453542,0.00140005,0.00634546,0.0185962,6207.19,3906.25,29.2054,1.00013
"prob_resp_class[59,5]",0.000882028,1.13154e-05,0.00104335,0.000575604,4.00787e-05,0.000544969,0.00285246,6847.78,4695.41,32.2194,0.999894
"prob_resp_class[59,6]",0.000530116,7.02308e-06,0.000569545,0.000356768,2.97423e-05,0.000353287,0.00164389,5851.11,4279.91,27.53,1.00032
"prob_resp_class[59,7]",0.000895002,1.0952e-05,0.00106147,0.000585965,3.87794e-05,0.000545298,0.00291468,7777.89,5028.45,36.5956,1.00099
"prob_resp_class[59,8]",0.000528288,7.15083e-06,0.000586741,0.000355345,2.73727e-05,0.000351508,0.00160279,6045.08,4843.2,28.4426,1.00029
"prob_resp_class[60,1]",0.850809,0.00107041,0.0930469,0.085326,0.677551,0.86689,0.969612,6434.74,3638.05,30.276,1.00011
"prob_resp_class[60,2]",0.00486568,6.1395e-05,0.00539971,0.0033051,0.000213842,0.00307566,0.0155368,5210.87,3179.68,24.5176,0.999989
"prob_resp_class[60,3]",0.133781,0.00107773,0.0920366,0.0842732,0.0159721,0.118051,0.30738,5825.87,3388.31,27.4112,1.00029
"prob_resp_class[60,4]",0.00770876,6.51623e-05,0.00568632,0.00453542,0.00140005,0.00634546,0.0185962,6207.19,3906.25,29.2054,1.00013
"prob_resp_class[60,5]",0.000882028,1.13154e-05,0.00104335,0.000575604,4.00787e-05,0.000544969,0.00285246,6847.78,4695.41,32.2194,0.999894
"prob_resp_class[60,6]",0.000530116,7.02308e-06,0.000569545,0.000356768,2.97423e-05,0.000353287,0.00164389,5851.11,4279.91,27.53,1.00032
"prob_resp_class[60,7]",0.000895002,1.0952e-05,0.00106147,0.000585965,3.87794e-05,0.000545298,0.00291468,7777.89,5028.45,36.5956,1.00099
"prob_resp_class[60,8]",0.000528288,7.15083e-06,0.000586741,0.000355345,2.73727e-05,0.000351508,0.00160279,6045.08,4843.2,28.4426,1.00029
"prob_resp_class[61,1]",0.83921,0.0010691,0.0932221,0.0861379,0.664496,0.855377,0.958487,6706.9,3936.19,31.5565,1.00007
"prob_resp_class[61,2]",0.00479516,6.04029e-05,0.00531463,0.00326324,0.000211124,0.00303955,0.0152387,5208.97,3186.12,24.5086,1.0
"prob_resp_class[61,3]",0.131828,0.00105946,0.0904544,0.0831262,0.0157513,0.116641,0.30132,5819.95,3392.6,27.3833,1.00032
