,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"pi[2,8]",0.800276,0.000684504,0.0776929,0.0784165,0.659772,0.808348,0.9124,12436.3,5416.33,1747.89,0.999876
"pi[3,1]",0.200566,0.000681402,0.0771079,0.0761259,0.086572,0.19438,0.337197,12455.9,5811.74,1750.66,1.00007
"pi[3,2]",0.200566,0.000681402,0.0771079,0.0761259,0.086572,0.19438,0.337197,12455.9,5811.74,1750.66,1.00007
"pi[3,3]",0.200566,0.000681402,0.0771079,0.0761259,0.086572,0.19438,0.337197,12455.9,5811.74,1750.66,1.00007
"pi[3,4]",0.200566,0.000681402,0.0771079,0.0761259,0.086572,0.19438,0.337197,12455.9,5811.74,1750.66,1.00007
"pi[3,5]",0.799617,0.000716242,0.0798125,0.080206,0.654304,0.808944,0.914862,12120.6,5805.87,1703.53,0.999918
"pi[3,6]",0.799617,0.000716242,0.0798125,0.080206,0.654304,0.808944,0.914862,12120.6,5805.87,1703.53,0.999918
"pi[3,7]",0.799617,0.000716242,0.0798125,0.080206,0.654304,0.808944,0.914862,12120.6,5805.87,1703.53,0.999918
"pi[3,8]",0.799617,0.000716242,0.0798125,0.080206,0.654304,0.808944,0.914862,12120.6,5805.87,1703.53,0.999918
"pi[4,1]",0.19975,0.0006872,0.0783154,0.0778766,0.0871679,0.19241,0.341024,12623.6,6075.84,1774.22,1.00098
"pi[4,2]",0.19975,0.0006872,0.0783154,0.0778766,0.0871679,0.19241,0.341024,12623.6,6075.84,1774.22,1.00098
"pi[4,3]",0.799692,0.000743943,0.0782602,0.0768861,0.655568,0.807184,0.911907,10947.9,5552.96,1538.7,0.999953
"pi[4,4]",0.799692,0.000743943,0.0782602,0.0768861,0.655568,0.807184,0.911907,10947.9,5552.96,1538.7,0.999953
"pi[4,5]",0.799692,0.000743943,0.0782602,0.0768861,0.655568,0.807184,0.911907,10947.9,5552.96,1538.7,0.999953
"pi[4,6]",0.799692,0.000743943,0.0782602,0.0768861,0.655568,0.807184,0.911907,10947.9,5552.96,1538.7,0.999953
"pi[4,7]",0.799692,0.000743943,0.0782602,0.0768861,0.655568,0.807184,0.911907,10947.9,5552.96,1538.7,0.999953
"pi[4,8]",0.799692,0.000743943,0.0782602,0.0768861,0.655568,0.807184,0.911907,10947.9,5552.96,1538.7,0.999953
"pi[5,1]",0.199873,0.000707448,0.0772503,0.0773741,0.0870214,0.192265,0.340219,11683.9,5405.65,1642.16,1.00065
